fund,period_end,nav_per_share,source
Apex Ridge,2024-06-30,25.04,client data
Apex Ridge,2024-12-31,25.42,client data
Apex Ridge,2025-06-30,25.73,client data
Apex Ridge,2025-12-31,26.12,client data
CCLFX,2024-03-31,10.55,N-CSR
CCLFX,2025-03-31,10.83,N-CSR
CCLFX,2025-09-30,10.77,N-CSRS
TAKIX,2023-12-31,8.52,N-CSR
TAKIX,2024-06-30,8.58,N-CSRS
TAKIX,2024-12-31,8.55,N-CSR
TAKIX,2025-06-30,8.41,N-CSRS
TAKIX,2025-12-31,8.32,N-CSR
GBDC,2024-03-31,15.12,10-K
GBDC,2024-09-30,15.19,10-Q
GBDC,2025-03-31,15.04,10-Q
GBDC,2025-09-30,14.97,10-Q
KREF,2023-12-31,20.2668,10-Q/10-K (book value)
KREF,2024-06-30,19.992,10-Q/10-K (book value)
KREF,2024-12-31,19.5744,10-Q/10-K (book value)
KREF,2025-06-30,18.8813,10-Q/10-K (book value)
KREF,2025-12-31,18.2164,10-Q/10-K (book value)
